floors,condition_type,waterfront,dorm_type,yr_renovated,bedrooms,house_age
1.0,regular,0,house,1970-01-01 00:00:00.000000000,3,new_house
2.0,regular,0,house,1970-01-01 00:00:00.000001991,3,new_house
1.0,regular,0,apartment,1970-01-01 00:00:00.000000000,2,new_house
1.0,good,0,house,1970-01-01 00:00:00.000000000,4,new_house
1.0,regular,0,house,1970-01-01 00:00:00.000000000,3,new_house
1.0,regular,0,house,1970-01-01 00:00:00.000000000,4,new_house
2.0,regular,0,house,1970-01-01 00:00:00.000000000,3,new_house
1.0,regular,0,house,1970-01-01 00:00:00.000000000,3,new_house
1.0,regular,0,house,1970-01-01 00:00:00.000000000,3,new_house
2.0,regular,0,house,1970-01-01 00:00:00.000000000,3,new_house
1.0,regular,0,house,1970-01-01 00:00:00.000000000,3,new_house
1.0,regular,0,apartment,1970-01-01 00:00:00.000000000,2,new_house
1.5,regular,0,house,1970-01-01 00:00:00.000000000,3,new_house
1.0,regular,0,house,1970-01-01 00:00:00.000000000,3,new_house
1.5,regular,0,house,1970-01-01 00:00:00.000000000,5,new_house
2.0,regular,0,house,1970-01-01 00:00:00.000000000,4,new_house
2.0,regular,0,house,1970-01-01 00:00:00.000000000,3,new_house
1.5,regular,0,house,1970-01-01 00:00:00.000000000,4,new_house
1.0,regular,0,apartment,1970-01-01 00:00:00.000000000,2,new_house
1.0,regular,0,house,1970-01-01 00:00:00.000000000,3,new_house
1.0,regular,0,house,1970-01-01 00:00:00.000000000,4,new_house
1.0,regular,0,house,1970-01-01 00:00:00.000000000,3,new_house
2.0,regular,0,house,1970-01-01 00:00:00.000000000,5,new_house
1.0,regular,0,apartment,1970-01-01 00:00:00.000000000,2,new_house
2.0,regular,0,house,1970-01-01 00:00:00.000000000,3,new_house
1.5,good,0,house,1970-01-01 00:00:00.000000000,3,new_house
2.0,regular,0,house,1970-01-01 00:00:00.000000000,3,new_house
1.5,good,0,house,1970-01-01 00:00:00.000000000,3,new_house
